Pressure,Beta,massratio,comp1,comp2,wtot
492525.05010020034,8.603394488838576,4.1489765473864235,2.8131209733262628,14.621857766123519,17.434978739449782
493687.3747494989,8.610429328454325,4.147829635363215,2.846748116237787,14.573986004917447,17.420734121155235
494849.69939879753,8.617442859890527,4.146685638800415,2.8803364216163514,14.52621937908037,17.406555800696722
496012.02404809615,8.624435118454869,4.145544544024023,2.913886009179571,14.478557430857997,17.392443440037567
497174.3486973947,8.631406139388837,4.144406337456882,2.9473969980386645,14.430999705539582,17.378396703578247
498336.67334669334,8.638355957867352,4.143271005617753,2.980869506702615,14.383545751433166,17.364415258135782
499498.99799599196,8.645284609000498,4.142138535120431,3.0143036530825364,14.336195119836619,17.350498772919156
500661.3226452905,8.652192127834173,4.141008912672871,3.047699554495724,14.288947365011385,17.33664691950711
501823.64729458914,8.659078549350435,4.139882125076271,3.08105732767009,14.241802044156756,17.322859371826848
502985.9719438877,8.665943908468392,4.138758159224251,3.1143770887477746,14.194758717384026,17.3091358061318
504148.29659318633,8.67278824004539,4.137637002101948,3.147658953289889,14.147816947689213,17.295475900979103
505310.6212424849,8.679611578877122,4.136518640785187,3.180903036279688,14.10097630092971,17.2818793372094
506472.9458917835,8.686413959698921,4.135403062439676,3.21410945212765,14.0542363457969,17.26834579792455
507635.27054108214,8.693195417185782,4.134290254320129,3.247278314674595,14.007596653793442,17.254874968468037
508797.5951903807,8.699955985954135,4.1331802037694505,3.2804097371958774,13.961056799206295,17.24146653640217
509959.9198396793,8.706695700561324,4.132072898217962,3.313503832405534,13.914616359084496,17.22812019149003
511122.2444889779,8.713414595507091,4.130968325182558,3.3465607124598598,13.868274913213767,17.214835625673626
512284.5691382765,8.720112705234039,4.12986647226596,3.379580488961298,13.822032044093014,17.201612533054313
513446.89378757507,8.726790064128261,4.1287673271558685,3.4125632729623026,13.775887336910804,17.188450609873108
514609.2184368737,8.733446706519956,4.127670877624299,3.445509174969237,13.729840379521944,17.17534955449118
515771.5430861723,8.740082666684213,4.126577111526678,3.4784183049456603,13.683890762424587,17.16230906737025
516933.8677354709,8.746697978841201,4.125486016801203,3.5112907723167135,13.638038078737615,17.149328851054328
518096.1923847695,8.753292677157576,4.124397581468033,3.544126685972033,13.592281924177279,17.13640861014931
519258.51703406806,8.759866795746396,4.123311793628558,3.5769261542699624,13.546621897035655,17.12354805130562
520420.8416833667,8.766420368668038,4.12222864146466,3.6096892850409765,13.501057598158154,17.11074688319913
521583.16633266525,8.77295342993071,4.121148113238098,3.6424161855913186,13.455588630921735,17.098004816513054
522745.49098196387,8.779466013490834,4.12007019728958,3.6751069627061232,13.410214601214138,17.08532156392026
523907.8156312625,8.785958153254134,4.118994882038245,3.7077617226537045,13.364935117410706,17.07269684006441
525070.140280561,8.792429883075647,4.117922155980896,3.7403805711883997,13.319749790354962,17.06013036154336
526232.4649298596,8.798881236760616,4.116852007691309,3.7729636135543,13.274658233336748,17.047621846891047
527394.7895791583,8.805312248065048,4.115784425819489,3.8055109544883594,13.22966006207181,17.03517101656017
528557.1142284569,8.811722950695769,4.114719399091163,3.8380226982245453,13.184754894681516,17.02277759290606
529719.4388777554,8.818113378311773,4.1136569163069305,3.8704989484963326,13.13994235167183,17.010441300168164
530881.7635270541,8.82448356452374,4.112596966341708,3.9029398085404203,13.09522205591488,16.998161864455298
532044.0881763527,8.8308335428955,4.111539538144014,3.935345381100252,13.050593632627008,16.98593901372726
533206.4128256512,8.837163346944019,4.11048462073539,3.9677157684287807,13.006056709350702,16.973772477779484
534368.7374749498,8.843473010140059,4.109432203209712,4.000051072292379,12.961610915934163,16.961661988226542
535531.0621242485,8.849762565908202,4.108382274732562,4.032351393973317,12.917255884513745,16.94960727848706
536693.386773547,8.85603204762807,4.107334824540583,4.064616834273741,12.872991249492713,16.937608083766456
537855.7114228456,8.862281488634409,4.106289841940963,4.096847493518156,12.828816647523874,16.92566414104203
539018.0360721443,8.868510922217554,4.105247316310676,4.129043471556889,12.784731717490606,16.913775189047495
540180.3607214428,8.874720381623662,4.104207237095994,4.161204867769282,12.740736100488803,16.901940968258085
541342.6853707414,8.880909900055768,4.10316959381181,4.193331781066781,12.696829439807454,16.890161220874234
542505.01002004,8.88707951067354,4.102134376041102,4.225424309895664,12.653011380912249,16.878435690807912
543667.3346693387,8.893229246594322,4.10110157343431,4.257482552240497,12.609281571426141,16.866764123666638
544829.6593186372,8.899359140892914,4.100071175708785,4.289506605626931,12.565639661113106,16.855146266740036
545991.9839679358,8.905469226602479,4.099043172648168,4.321496567124689,12.522085301859706,16.843581868984394
547154.3086172345,8.911559536714911,4.098017554101879,4.3534525333506355,12.47861814765778,16.832070681008418
548316.633266533,8.917630104180947,4.0969943099845505,4.385374600471683,12.435237854587864,16.820612455059546
549478.9579158316,8.923680961910847,4.095973430275408,4.417262864207634,12.39194408080177,16.809206945009404
550641.2825651302,8.92971214277458,4.094954905017787,4.449117419834033,12.348736486506226,16.797853906340258
551803.6072144288,8.93572367960236,4.093938724318573,4.480938362185394,12.305614733945598,16.78655309613099
552965.9318637274,8.941715605184955,4.092924878347665,4.512725785657383,12.262578487386238,16.77530427304362
